"Product ID","FGH310XKQ1"
"Comment",""
"Group ID","FGH310XKQ10R001A"
"Cassette ID","F5SA31"
"Glass ID","F5041165BM"
"Sheet Name","7716"
"Operation ID","5620"
"Pattern Name","H310"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/9/2020 10:35:43 AM"
"Finish Time","5/9/2020 10:37:15 AM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-531.2","627.2","1mA","30mV","3.562E+1","3.563E+1","3.563E+1","2.500E-2","OK"
"2","2","8.8","627.2","1mA","30mV","4.062E+1","4.063E+1","4.063E+1","2.200E-2","OK"
"3","3","529.8","627.2","1mA","30mV","3.871E+1","3.871E+1","3.871E+1","1.300E-2","OK"
"4","4","-531.2","224.9","1mA","30mV","2.889E+1","2.889E+1","2.889E+1","1.700E-2","OK"
"5","5","8.8","224.9","1mA","30mV","2.877E+1","2.877E+1","2.877E+1","1.700E-2","OK"
"6","6","529.8","224.9","1mA","30mV","2.461E+1","2.461E+1","2.461E+1","2.000E-2","OK"
"7","7","-531.2","-226.8","1mA","30mV","2.686E+1","2.686E+1","2.686E+1","1.900E-2","OK"
"8","8","8.8","-226.8","1mA","30mV","2.852E+1","2.853E+1","2.853E+1","1.800E-2","OK"
"9","9","529.8","-226.8","1mA","30mV","2.764E+1","2.764E+1","2.764E+1","0.000E+0","OK"
"10","10","-531.2","-629.1","1mA","30mV","3.160E+1","3.160E+1","3.160E+1","1.600E-2","OK"
"11","11","8.8","-629.1","1mA","30mV","3.542E+1","3.542E+1","3.542E+1","2.500E-2","OK"
"12","12","529.8","-629.1","1mA","30mV","2.754E+1","2.754E+1","2.754E+1","1.500E-2","OK"
""
"Average","3.124E+1"
"Max","4.063E+1"
"Min","2.461E+1"
"Range","1.602E+1"
"Deviation","4.913E+0"
"CV","15.728%"
"Uni.","24.555%"
"Judgment","OK"
