"Product ID","OGD317CXS5"
"Comment",""
"Group ID","OGD317CXS500001A"
"Cassette ID","F5S906"
"Glass ID","T504B882BH"
"Sheet Name","2855"
"Operation ID","5220"
"Pattern Name","D317"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/9/2020 9:06:42 AM"
"Finish Time","5/9/2020 9:08:13 AM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-519.6","633.3","1mA","30mV","3.898E+1","3.897E+1","3.897E+1","3.600E-2","OK"
"2","2","2.6","633.3","1mA","30mV","4.167E+1","4.168E+1","4.168E+1","2.200E-2","OK"
"3","3","511.2","633.3","1mA","30mV","4.055E+1","4.056E+1","4.055E+1","1.200E-2","OK"
"4","4","-519.6","313.3","1mA","30mV","3.715E+1","3.716E+1","3.716E+1","1.300E-2","OK"
"5","5","2.6","313.3","1mA","30mV","3.721E+1","3.722E+1","3.722E+1","2.400E-2","OK"
"6","6","511.2","313.3","1mA","30mV","3.676E+1","3.677E+1","3.677E+1","2.400E-2","OK"
"7","7","-519.6","-313.7","1mA","30mV","3.665E+1","3.666E+1","3.665E+1","2.500E-2","OK"
"8","8","2.6","-313.7","1mA","30mV","3.681E+1","3.682E+1","3.682E+1","2.700E-2","OK"
"9","9","511.2","-313.7","1mA","30mV","3.656E+1","3.656E+1","3.656E+1","1.100E-2","OK"
"10","10","-519.6","-633.7","1mA","30mV","4.023E+1","4.024E+1","4.024E+1","1.200E-2","OK"
"11","11","2.6","-633.7","1mA","30mV","3.984E+1","3.986E+1","3.985E+1","3.500E-2","OK"
"12","12","511.2","-633.7","1mA","30mV","3.980E+1","3.981E+1","3.981E+1","2.300E-2","OK"
""
"Average","3.852E+1"
"Max","4.168E+1"
"Min","3.656E+1"
"Range","5.120E+0"
"Deviation","1.768E+0"
"CV","4.591%"
"Uni.","6.544%"
"Judgment","OK"
