"Product ID","OGE021BFE1"
"Comment",""
"Group ID","OGE021BFE100001A"
"Cassette ID","F5SB33"
"Glass ID","T504L957AJ"
"Sheet Name","0955"
"Operation ID","5220"
"Pattern Name","E021"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 1:43:21 PM"
"Finish Time","5/28/2020 1:44:54 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-531.2","640.0","1mA","30mV","3.445E+1","3.445E+1","3.445E+1","1.200E-2","OK"
"2","2","110.0","640.0","1mA","30mV","3.360E+1","3.360E+1","3.360E+1","1.500E-2","OK"
"3","3","529.5","640.0","1mA","30mV","3.570E+1","3.570E+1","3.570E+1","1.100E-2","OK"
"4","4","-531.2","320.0","1mA","30mV","3.213E+1","3.214E+1","3.213E+1","2.800E-2","OK"
"5","5","110.0","320.0","1mA","30mV","3.091E+1","3.092E+1","3.092E+1","2.900E-2","OK"
"6","6","529.5","320.0","1mA","30mV","3.853E+1","3.853E+1","3.853E+1","2.300E-2","OK"
"7","7","-531.2","-320.0","1mA","30mV","3.193E+1","3.193E+1","3.193E+1","1.300E-2","OK"
"8","8","110.0","-320.0","1mA","30mV","3.069E+1","3.070E+1","3.069E+1","1.300E-2","OK"
"9","9","529.5","-320.0","1mA","30mV","3.910E+1","3.911E+1","3.911E+1","2.300E-2","OK"
"10","10","-531.2","-633.0","1mA","30mV","3.195E+1","3.195E+1","3.195E+1","1.600E-2","OK"
"11","11","110.0","-633.0","1mA","30mV","3.147E+1","3.148E+1","3.148E+1","2.900E-2","OK"
"12","12","529.5","-638.0","1mA","30mV","3.657E+1","3.657E+1","3.657E+1","1.400E-2","OK"
""
"Average","3.392E+1"
"Max","3.911E+1"
"Min","3.069E+1"
"Range","8.420E+0"
"Deviation","2.817E+0"
"CV","8.303%"
"Uni.","12.063%"
"Judgment","OK"
