"Product ID","OGE021BFE1"
"Comment",""
"Group ID","OGE021BFE100001A"
"Cassette ID","F5SB33"
"Glass ID","T504M944BE"
"Sheet Name","0955"
"Operation ID","5220"
"Pattern Name","E021"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 1:46:22 PM"
"Finish Time","5/28/2020 1:47:56 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-531.2","640.0","1mA","30mV","3.652E+1","3.653E+1","3.653E+1","2.500E-2","OK"
"2","2","110.0","640.0","1mA","30mV","3.356E+1","3.356E+1","3.356E+1","0.000E+0","OK"
"3","3","529.5","640.0","1mA","30mV","3.480E+1","3.481E+1","3.481E+1","2.600E-2","OK"
"4","4","-531.2","320.0","1mA","30mV","3.531E+1","3.532E+1","3.531E+1","2.500E-2","OK"
"5","5","110.0","320.0","1mA","30mV","3.102E+1","3.102E+1","3.102E+1","1.600E-2","OK"
"6","6","529.5","320.0","1mA","30mV","3.248E+1","3.249E+1","3.249E+1","2.800E-2","OK"
"7","7","-531.2","-320.0","1mA","30mV","3.432E+1","3.432E+1","3.432E+1","0.000E+0","OK"
"8","8","110.0","-320.0","1mA","30mV","3.082E+1","3.082E+1","3.082E+1","0.000E+0","OK"
"9","9","529.5","-320.0","1mA","30mV","3.235E+1","3.235E+1","3.235E+1","1.500E-2","OK"
"10","10","-531.2","-633.0","1mA","30mV","3.279E+1","3.280E+1","3.279E+1","1.200E-2","OK"
"11","11","110.0","-633.0","1mA","30mV","3.167E+1","3.167E+1","3.167E+1","0.000E+0","OK"
"12","12","529.5","-638.0","1mA","30mV","3.307E+1","3.308E+1","3.308E+1","1.200E-2","OK"
""
"Average","3.323E+1"
"Max","3.653E+1"
"Min","3.082E+1"
"Range","5.710E+0"
"Deviation","1.675E+0"
"CV","5.041%"
"Uni.","8.478%"
"Judgment","OK"
