"Product ID","OGF670XFS1"
"Comment",""
"Group ID","OGF670XFS100001A"
"Cassette ID","F5SF10"
"Glass ID","T504U990AU"
"Sheet Name","2325"
"Operation ID","5220"
"Pattern Name","F670"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 2:02:53 PM"
"Finish Time","5/28/2020 2:04:27 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-535.0","633.0","100uA","30mV","3.154E+2","3.155E+2","3.154E+2","2.900E-2","OK"
"2","2","-2.6","633.0","100uA","30mV","3.117E+2","3.120E+2","3.118E+2","7.100E-2","OK"
"3","3","535.0","633.0","100uA","30mV","3.320E+2","3.321E+2","3.320E+2","2.400E-2","OK"
"4","4","-535.0","209.0","100uA","30mV","2.675E+2","2.675E+2","2.675E+2","0.000E+0","OK"
"5","5","-2.6","209.0","100uA","30mV","2.449E+2","2.450E+2","2.449E+2","1.600E-2","OK"
"6","6","535.0","209.0","100uA","30mV","2.719E+2","2.719E+2","2.719E+2","0.000E+0","OK"
"7","7","-535.0","-224.0","100uA","30mV","2.758E+2","2.759E+2","2.759E+2","1.500E-2","OK"
"8","8","-2.6","-224.0","100uA","30mV","2.491E+2","2.491E+2","2.491E+2","0.000E+0","OK"
"9","9","535.0","-224.0","100uA","30mV","2.813E+2","2.813E+2","2.813E+2","0.000E+0","OK"
"10","10","-535.0","-635.0","100uA","30mV","3.059E+2","3.059E+2","3.059E+2","1.600E-2","OK"
"11","11","-2.6","-635.0","100uA","30mV","2.940E+2","2.941E+2","2.940E+2","3.100E-2","OK"
"12","12","535.0","-635.0","100uA","30mV","3.103E+2","3.103E+2","3.103E+2","1.300E-2","OK"
""
"Average","2.883E+2"
"Max","3.320E+2"
"Min","2.449E+2"
"Range","8.710E+1"
"Deviation","2.637E+1"
"CV","9.147%"
"Uni.","15.098%"
"Judgment","OK"
