"Product ID","OGF670XFS1"
"Comment",""
"Group ID","OGF670XFS100001A"
"Cassette ID","F5S610"
"Glass ID","T5055B86AN"
"Sheet Name","2325"
"Operation ID","5220"
"Pattern Name","F670"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 1:14:55 PM"
"Finish Time","5/28/2020 1:16:28 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-535.0","633.0","100uA","30mV","3.319E+2","3.320E+2","3.319E+2","2.700E-2","OK"
"2","2","-2.6","633.0","100uA","30mV","3.147E+2","3.148E+2","3.147E+2","1.600E-2","OK"
"3","3","535.0","633.0","100uA","30mV","3.381E+2","3.381E+2","3.381E+2","1.500E-2","OK"
"4","4","-535.0","209.0","100uA","30mV","2.788E+2","2.789E+2","2.788E+2","1.400E-2","OK"
"5","5","-2.6","209.0","100uA","30mV","2.430E+2","2.430E+2","2.430E+2","0.000E+0","OK"
"6","6","535.0","209.0","100uA","30mV","2.686E+2","2.686E+2","2.686E+2","0.000E+0","OK"
"7","7","-535.0","-224.0","100uA","30mV","2.907E+2","2.907E+2","2.907E+2","0.000E+0","OK"
"8","8","-2.6","-224.0","100uA","30mV","2.476E+2","2.476E+2","2.476E+2","2.000E-2","OK"
"9","9","535.0","-224.0","100uA","30mV","2.765E+2","2.766E+2","2.765E+2","1.400E-2","OK"
"10","10","-535.0","-635.0","100uA","30mV","3.191E+2","3.191E+2","3.191E+2","1.300E-2","OK"
"11","11","-2.6","-635.0","100uA","30mV","2.930E+2","2.931E+2","2.930E+2","1.400E-2","OK"
"12","12","535.0","-635.0","100uA","30mV","3.144E+2","3.144E+2","3.144E+2","1.600E-2","OK"
""
"Average","2.930E+2"
"Max","3.381E+2"
"Min","2.430E+2"
"Range","9.510E+1"
"Deviation","2.999E+1"
"CV","10.234%"
"Uni.","16.366%"
"Judgment","OK"
