"Product ID","OGF670XFS1"
"Comment",""
"Group ID","OGF670XFS100001A"
"Cassette ID","F5SB96"
"Glass ID","T5055B86BH"
"Sheet Name","2325"
"Operation ID","5220"
"Pattern Name","F670"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 2:41:36 PM"
"Finish Time","5/28/2020 2:43:09 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-535.0","633.0","100uA","30mV","3.589E+2","3.590E+2","3.589E+2","2.800E-2","OK"
"2","2","-2.6","633.0","100uA","30mV","3.047E+2","3.048E+2","3.047E+2","1.300E-2","OK"
"3","3","535.0","633.0","100uA","30mV","3.378E+2","3.379E+2","3.379E+2","2.700E-2","OK"
"4","4","-535.0","209.0","100uA","30mV","2.919E+2","2.919E+2","2.919E+2","1.400E-2","OK"
"5","5","-2.6","209.0","100uA","30mV","2.406E+2","2.407E+2","2.406E+2","2.100E-2","OK"
"6","6","535.0","209.0","100uA","30mV","2.848E+2","2.848E+2","2.848E+2","0.000E+0","OK"
"7","7","-535.0","-224.0","100uA","30mV","2.966E+2","2.966E+2","2.966E+2","0.000E+0","OK"
"8","8","-2.6","-224.0","100uA","30mV","2.435E+2","2.434E+2","2.435E+2","3.700E-2","OK"
"9","9","535.0","-224.0","100uA","30mV","2.913E+2","2.913E+2","2.913E+2","0.000E+0","OK"
"10","10","-535.0","-635.0","100uA","30mV","3.170E+2","3.170E+2","3.170E+2","0.000E+0","OK"
"11","11","-2.6","-635.0","100uA","30mV","2.838E+2","2.840E+2","2.839E+2","6.300E-2","OK"
"12","12","535.0","-635.0","100uA","30mV","3.272E+2","3.272E+2","3.272E+2","1.500E-2","OK"
""
"Average","2.982E+2"
"Max","3.589E+2"
"Min","2.406E+2"
"Range","1.183E+2"
"Deviation","3.327E+1"
"CV","11.157%"
"Uni.","19.733%"
"Judgment","OK"
